Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
Boogeyman;2005;PG-13;89;Drama, Horror, Mystery;Stephen Kay;Eric Kripke (story), Eric Kripke (screenplay), Juliet Snowden (screenplay), Stiles White (screenplay);Barry Watson, Emily Deschanel, Skye McCole Bartusiak, Tory Mussett;A young man tries to deal with the childhood terror that has affected his life.;English;USA, New Zealand, Germany;4.1;46363118;Screen Gems
The Wedding Date;2005;PG-13;90;Comedy, Romance;Clare Kilner;Elizabeth Young (book), Dana Fox (screenplay);Debra Messing, Dermot Mulroney, Amy Adams, Jack Davenport;Single-girl anxiety causes Kat Ellis (Messing) to hire a male escort (Mulroney) to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing.;English;USA;6.1;32000000;Universal Pictures
Socha Na Tha;2005;NULL;137;Romance, Comedy;Imtiaz Ali;Imtiaz Ali;Abhay Deol, Ayesha Takia, Ayesha Jhulka, Apoorva Jha;A boy is forced meet a girl for an arranged marriage but even though he refuses the match, they secretly become friends. As things get complicated and both get engaged to different people they realize they've fallen in love with each other.;Hindi, English;India;7.6;NULL;NULL
Be Cool;2005;PG-13;118;Comedy, Crime, Music;F. Gary Gray;Elmore Leonard (novel), Peter Steinfeld (screenplay);John Travolta, Uma Thurman, Vince Vaughn, Cedric the Entertainer;Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive on the way.;English, Russian;USA;5.7;55590667;MGM/UA
The Pacifier;2005;PG;95;Action, Comedy, Drama;Adam Shankman;Thomas Lennon, Robert Ben Garant;Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow;Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house.;English, Korean;Canada, USA;5.6;113006880;Buena Vista
The Jacket;2005;R;103;Drama, Mystery, Sci-Fi;John Maybury;Tom Bleecker (story), Marc Rocco (story), Massy Tadjedin (screenplay);Adrien Brody, Keira Knightley, Kris Kristofferson, Jennifer Jason Leigh;A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a Doctor's experiments, and his life is completely affected by them.;English;USA, Germany;7.1;6282106;Warner Independent
Mutual Appreciation;2005;R;109;Comedy;Andrew Bujalski;Andrew Bujalski;Justin Rice, Rachel Clift, Andrew Bujalski, Seung-Min Lee;Alan is a musician who leaves a busted-up band for New York, and a new musical voyage. He tries to stay focused and fends off all manner of distractions, including the attraction to his good friend's girlfriend.;English;USA;6.9;NULL;Goodbye Cruel World
Jarhead;2005;R;125;Action, Drama, War;Sam Mendes;William Broyles Jr. (screenplay), Anthony Swofford (book);Jake Gyllenhaal, Scott MacDonald, Peter Sarsgaard, Jamie Foxx;"A psychological study of operations desert shield and desert storm during the gulf war; through the eyes of a U.S marine sniper who struggles to cope with the possibility his girlfriend may be cheating on him back home.";English, Spanish, Arabic, Latin;USA, UK, Germany;7.0;62578105;Universal Pictures
Chicken Little;2005;G;81;Animation, Adventure, Comedy;Mark Dindal;Mark Dindal (story by), Mark Kennedy (story by), Steve Bencich (screenplay), Ron J. Friedman (screenplay), Ron Anderson (screenplay), Robert L. Baird (additional story material), Daniel Gerson (additional story material), Sara Parriott (additional screenplay material), Josann McGibbon (additional screenplay material), David Reynolds (additional dialogue), Sandra Tsing Loh (additional dialogue);Zach Braff, Garry Marshall, Don Knotts, Patrick Stewart;After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.;English;USA;5.8;135289768;Buena Vista Pictures
Shopgirl;2005;R;106;Drama, Romance;Anand Tucker;Steve Martin (novel), Steve Martin (screenplay);Steve Martin, Claire Danes, Jason Schwartzman, Bridgette Wilson-Sampras;A film adaptation of Steve Martin's novel about a complex love triangle between a bored salesgirl, a wealthy businessman and an aimless young man.;English, Japanese;USA;6.4;10082747;Touchstone Pictures
Good Night, and Good Luck.;2005;PG;93;Biography, Drama, History;George Clooney;George Clooney, Grant Heslov;Jeff Daniels, David Strathairn, Alex Borstein, Rose Abdoo;Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.;English;USA, France, UK, Japan;7.5;31500000;Warner Independent Pictures
Wal-Mart: The High Cost of Low Price;2005;NOT RATED;98;Documentary;Robert Greenwald;NULL;Lee Scott, Don Hunter, Jon Hunter, Jeremy Hunter;A look at the impact of the retail giant on local communities.;English;USA;6.8;NULL;Brave New Films
The Dukes of Hazzard;2005;PG-13;104;Action, Adventure, Comedy;Jay Chandrasekhar;John O'Brien (screenplay), John O'Brien (story), Jonathan L. Davis (story), Gy Waldron (characters);Johnny Knoxville, Seann William Scott, Alice Greczyn, Steve Lemme;Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.;English;USA;5.1;80206743;Warner Bros. Pictures
Me and You and Everyone We Know;2005;R;91;Comedy, Drama;Miranda July;Miranda July;John Hawkes, Miranda July, Miles Thompson, Brandon Ratcliff;A lonely shoe salesman and an eccentric performance artist struggle to connect in this unique take on contemporary life.;English;USA, UK;7.4;3800000;IFC Films
Murderball;2005;R;88;Documentary, Sport;Henry Alex Rubin, Dana Adam Shapiro;NULL;Joe Bishop, Keith Cavill, Andy Cohn, Scott Hogsett;Paraplegics, who play full-contact rugby in wheelchairs, overcome unimaginable obstacles to compete in the Paralympic Games in Athens, Greece.;English;USA;7.8;1328551;ThinkFilm
The Promise;2005;PG-13;121;Action, Drama, Fantasy;Kaige Chen;Kaige Chen, Tan Cheung;Dong-gun Jang, Hiroyuki Sanada, Cecilia Cheung, Nicholas Tse;Empowered by the love of a slave (Jang), a royal concubine (Cheung) is given the chance to make an extraordinary decision.;Mandarin;China, South Korea, USA;5.6;632879;Warner Independent Pictures
