Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
Kind Hearts and Coronets;1949;APPROVED;106;Comedy, Crime;Robert Hamer;Roy Horniman (novel), Robert Hamer (screenplay), John Dighton (screenplay);Dennis Price, Valerie Hobson, Joan Greenwood, Alec Guinness;A distant poor relative of the Duke of D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.;English;UK;8.1;NULL;Ealing Studios
She Wore a Yellow Ribbon;1949;UNRATED;103;Western;John Ford;James Warner Bellah (story), Frank S. Nugent (screenplay), Laurence Stallings (screenplay);John Wayne, Joanne Dru, John Agar, Ben Johnson;Captain Nathan Brittles, on the eve of retirement, takes out a last patrol to stop an impending massive Indian attack. Encumbered by women who must be evacuated, Brittles finds his mission imperiled.;English;USA;7.4;NULL;Turner Home Entertainment
The Third Man;1949;APPROVED;93;Film-Noir, Mystery, Thriller;Carol Reed;Graham Greene (by), Graham Greene (screen play);Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard;Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.;English, German, Russian;UK;8.3;NULL;Rialto Pictures
All About Eve;1950;APPROVED;138;Drama;Joseph L. Mankiewicz;Joseph L. Mankiewicz (written for the screen by);Bette Davis, Anne Baxter, George Sanders, Celeste Holm;An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.;English, French;USA;8.3;NULL;20th Century Fox
Annie Get Your Gun;1950;PASSED;107;Biography, Comedy, Musical;George Sidney, Busby Berkeley;Sidney Sheldon (screenplay), Herbert Fields (book), Dorothy Fields (book);Betty Hutton, Howard Keel, Louis Calhern, J. Carrol Naish;The story of the great sharpshooter Annie Oakley, who rose to fame while dealing with her love/professional rival, Frank Butler.;English;USA;7.0;NULL;MGM
Harvey;1950;NOT RATED;104;Comedy, Drama, Fantasy;Henry Koster;Mary Chase (from the Pulitzer Prize Play by), Mary Chase (screenplay), Oscar Brodney (screenplay);Wallace Ford, William H. Lynn, Victoria Horne, Jesse White;Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.;English, Spanish, Latin;USA;8.0;NULL;MCA Universal Home Video
Rashomon;1950;UNRATED;88;Crime, Drama, Mystery;Akira Kurosawa;Ryûnosuke Akutagawa (stories), Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay);Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura;A heinous crime and its aftermath are recalled from differing points of view.;Japanese;Japan;8.3;NULL;NULL
Sunset Boulevard;1950;PASSED;110;Drama, Film-Noir;Billy Wilder;Charles Brackett, Billy Wilder, D.M. Marshman Jr.;William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson;A screenwriter is hired to rework a faded silent film star's script only to find himself developing a dangerous relationship.;English;USA;8.5;NULL;Paramount Pictures
A Streetcar Named Desire;1951;PG;122;Drama;Elia Kazan;"Tennessee Williams (screen play), Oscar Saul (adaptation), Tennessee Williams (original play """"A Streetcar Named Desire"""")";Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden;Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.;English, Spanish;USA;8.0;NULL;Warner Bros. Pictures
Show Boat;1951;APPROVED;108;Drama, Family, Musical;George Sidney;"John Lee Mahin (screen play), Jerome Kern (based on the immortal musical play """"Show Boat"""" by), Oscar Hammerstein II (based on the immortal musical play """"Show Boat"""" by), Edna Ferber (from novel)";Kathryn Grayson, Ava Gardner, Howard Keel, Joe E. Brown;The daughter of a riverboat captain falls in love with a charming gambler, but their fairytale romance is threatened when his luck turns sour.;English;USA;7.0;NULL;MGM Home Entertainment
Quo Vadis;1951;APPROVED;171;Biography, Drama, History;Mervyn LeRoy, Anthony Mann;John Lee Mahin (screen play), S.N. Behrman (screen play), Sonya Levien (screen play), Henryk Sienkiewicz (based on the novel by);Robert Taylor, Deborah Kerr, Leo Genn, Peter Ustinov;A fierce Roman commander becomes infatuated with a beautiful Christian hostage and begins questioning the tyrannical leadership of the despot Emperor Nero.;English;USA;7.2;NULL;MGM Home Entertainment
Strangers on a Train;1951;PG;101;Crime, Film-Noir, Thriller;Alfred Hitchcock;Raymond Chandler (screen play), Czenzi Ormonde (screen play), Whitfield Cook (adaptation), Patricia Highsmith (from the novel by);Farley Granger, Ruth Roman, Robert Walker, Leo G. Carroll;A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder - a theory that he plans to implement.;English, French;USA;8.0;NULL;Warner Home Video
The Greatest Show on Earth;1952;NOT RATED;152;Drama, Family, Romance;Cecil B. DeMille;Fredric M. Frank (screenplay), Barré Lyndon (screenplay), Theodore St. John (screenplay), Fredric M. Frank (story), Theodore St. John (story), Frank Cavett (story);Betty Hutton, Cornel Wilde, Charlton Heston, Dorothy Lamour;The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle.;English, Russian;USA;6.7;NULL;Paramount Pictures
Singin' in the Rain;1952;APPROVED;103;Comedy, Musical, Romance;Stanley Donen, Gene Kelly;Betty Comden (story by), Adolph Green (story by);Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen;A silent film production company and cast make a difficult transition to sound.;English;USA;8.3;NULL;MGM
Deadline - U.S.A.;1952;NULL;87;Crime, Drama, Film-Noir;Richard Brooks;Richard Brooks;Humphrey Bogart, Ethel Barrymore, Kim Hunter, Ed Begley;With his newspaper about to be sold, crusading editor Ed Hutcheson tries to complete an exposé on gangster Rienzi.;English;USA;7.2;NULL;20th Century Fox
Ikiru;1952;NOT RATED;143;Drama;Akira Kurosawa;Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni;Takashi Shimura, Shin'ichi Himori, Haruo Tanaka, Minoru Chiaki;A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.;Japanese;Japan;8.3;NULL;Cowboy Pictures
High Noon;1952;PG;85;Drama, Thriller, Western;Fred Zinnemann;"Carl Foreman (screenplay), John W. Cunningham (magazine story """"The Tin Star"""")";Gary Cooper, Thomas Mitchell, Lloyd Bridges, Katy Jurado;Marshal Will Kane, personally compelled to face his returning deadly enemy Frank Miller, finds that his fellow townspeople refuse to help him.;English, Spanish;USA;8.0;NULL;United Artists
Niagara;1953;APPROVED;92;Film-Noir, Thriller;Henry Hathaway;Charles Brackett, Walter Reisch, Richard L. Breen;Marilyn Monroe, Joseph Cotten, Jean Peters, Max Showalter;As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder.;English;USA;7.1;NULL;Fox
Roman Holiday;1953;PASSED;118;Comedy, Romance;William Wyler;Ian McLellan Hunter (screenplay), John Dighton (screenplay), Dalton Trumbo (screenplay), Dalton Trumbo (story);Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power;A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.;English, Italian, German;USA;8.1;NULL;Paramount Pictures
The Robe;1953;UNRATED;135;Drama, History;Henry Koster;Philip Dunne (screenplay), Gina Kaus (adaptation), Lloyd C. Douglas (novel), Albert Maltz (screenplay);Richard Burton, Jean Simmons, Victor Mature, Michael Rennie;In the Roman province of Judea during the 1st century, Roman tribune Marcellus Gallio is ordered to crucify Jesus of Nazareth but is tormented by his guilty conscience afterwards.;English;USA;6.8;NULL;20th Century Fox
Stalag 17;1953;NOT RATED;120;Drama, War;Billy Wilder;Billy Wilder (written for the screen by), Edwin Blum (written for the screen by), Donald Bevan (based on the play by), Edmund Trzcinski (based on the play by);William Holden, Don Taylor, Otto Preminger, Robert Strauss;When two escaping American World War II prisoners are killed, the German POW camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.;English, German, Russian;USA;8.0;NULL;Paramount Home Video
The Beast from 20,000 Fathoms;1953;APPROVED;80;Adventure, Horror, Sci-Fi;Eugène Lourié;"Lou Morheim (screenplay), Fred Freiberger (screenplay), Ray Bradbury (story """"The Fog Horn"""")";Paul Hubschmid, Paula Raymond, Cecil Kellaway, Kenneth Tobey;A ferocious dinosaur awakened by an Arctic atomic test terrorizes the North Atlantic and, ultimately, New York City.;English, French;USA;6.7;NULL;Warner Bros. Pictures
Tokyo Story;1953;NOT RATED;136;Drama;Yasujirô Ozu;Kôgo Noda (scenario), Yasujirô Ozu (scenario);Chishû Ryû, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura;"An old couple visit their children and grandchildren in the city; but the children have little time for them.";Japanese, English;Japan;8.2;NULL;BFI Production
The Wages of Fear;1953;NOT RATED;131;Adventure, Drama, Thriller;Henri-Georges Clouzot;Georges Arnaud (novel), Henri-Georges Clouzot (adaptation), Jérôme Géronimi (adaptation);Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck;In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.;French, English, Spanish, German, Italian, Russian;France, Italy;8.2;NULL;Janus Films
From Here to Eternity;1953;NOT RATED;118;Drama, Romance, War;Fred Zinnemann;Daniel Taradash (screen play), James Jones (based upon the novel by);Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed;In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.;English;USA;7.7;NULL;NCM Fathom
Rear Window;1954;APPROVED;112;Mystery, Thriller;Alfred Hitchcock;John Michael Hayes (screenplay), Cornell Woolrich (based on the short story by);James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter;A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.;English;USA;8.5;NULL;Paramount Pictures
The Egyptian;1954;APPROVED;139;Biography, Drama, History;Michael Curtiz;Philip Dunne (screen play), Casey Robinson (screen play), Mika Waltari (novel);Jean Simmons, Victor Mature, Gene Tierney, Michael Wilding;In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and...;English, Greek;USA;6.6;NULL;20th Century Fox Film Corporation
Seven Samurai;1954;UNRATED;207;Adventure, Drama;Akira Kurosawa;Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay);Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki;A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.;Japanese;Japan;8.7;NULL;Columbia Pictures
On the Waterfront;1954;APPROVED;108;Crime, Drama, Thriller;Elia Kazan;Budd Schulberg (screenplay), Budd Schulberg (based upon an original story by), Malcolm Johnson (suggested by articles by);Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger;An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.;English;USA;8.2;NULL;Sony Pictures
20,000 Leagues Under the Sea;1954;APPROVED;127;Adventure, Drama, Family;Richard Fleischer;Earl Felton (screenplay);Kirk Douglas, James Mason, Paul Lukas, Peter Lorre;A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.;English;USA;7.2;NULL;Disney
Dial M for Murder;1954;PG;105;Crime, Film-Noir, Thriller;Alfred Hitchcock;Frederick Knott (screen play), Frederick Knott (adapted from his play);Ray Milland, Grace Kelly, Robert Cummings, John Williams;An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B.;English;USA;8.2;NULL;Warner Bros. Pictures
The Trouble with Harry;1955;APPROVED;99;Comedy, Mystery;Alfred Hitchcock;John Michael Hayes (screenplay), Jack Trevor Story (based on the novel by);Edmund Gwenn, John Forsythe, Mildred Natwick, Mildred Dunnock;The trouble with Harry is that he's dead, and everyone seems to have a different idea of what needs to be done with his body...;English;USA;7.2;NULL;MCA Universal Home Video
Ordet;1955;NOT RATED;126;Drama, Fantasy;Carl Theodor Dreyer;Kaj Munk (play);Hanne Aagesen, Kirsten Andreasen, Sylvia Eckhausen, Birgitte Federspiel;Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with one and other, and the rest of the town. The various events that unfold throughout the film tests all of their faith and beliefs.;Danish;Denmark;8.2;NULL;Criterion Collection
Diabolique;1955;UNRATED;117;Crime, Drama, Horror;Henri-Georges Clouzot;Pierre Boileau (novel), Thomas Narcejac (novel), Henri-Georges Clouzot (scenario and dialogue), Jérôme Géronimi (scenario and dialogue), René Masson (collaboration), Frédéric Grendel (collaboration);Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel;"The wife and mistress of a cruel headmaster conspire to kill him; after the murder is committed, his corpse disappears, and strange events begin to plague the two women.";French, English;France;8.1;NULL;Kino Lorber Inc.
Pather Panchali;1955;NOT RATED;125;Drama;Satyajit Ray;Bibhutibhushan Bandyopadhyay (novel), Satyajit Ray (screenplay);Kanu Bannerjee, Karuna Bannerjee, Chunibala Devi, Uma Das Gupta;Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.;Bengali;India;8.4;NULL;Sony Pictures Classics
The Night of the Hunter;1955;APPROVED;92;Crime, Drama, Film-Noir;Charles Laughton;James Agee (screenplay), Davis Grubb (based on the novel by);Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason;A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery.;English;USA;8.0;NULL;United Artists
Moby Dick;1956;UNRATED;116;Adventure, Drama;John Huston;Herman Melville (novel), Ray Bradbury (screenplay), John Huston (screenplay);Gregory Peck, Richard Basehart, Leo Genn, James Robertson Justice;The sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, Moby Dick.;English;UK, USA;7.4;NULL;MGM
