Year;Ceremony;Award;Winner;Name;Film
1932/1933;6;Art Direction;FALSE;A Farewell to Arms ;Hans Dreier, Roland Anderson [Second]
1932/1933;6;Art Direction;FALSE;When Ladies Meet ;Cedric Gibbons [Third]
1932/1933;6;Assistant Director;FALSE;Percy Ikerd (Fox);
1932/1933;6;Assistant Director;TRUE;William Tummel (Fox);
1932/1933;6;Assistant Director;TRUE;Charles Dorian (Metro-Goldwyn-Mayer);
1932/1933;6;Assistant Director;FALSE;Bunny Dull (Metro-Goldwyn-Mayer);
1932/1933;6;Assistant Director;FALSE;John S. Waters (Metro-Goldwyn-Mayer);
1932/1933;6;Assistant Director;TRUE;Charles Barton (Paramount);
1932/1933;6;Assistant Director;FALSE;Sidney S. Brod (Paramount);
1932/1933;6;Assistant Director;FALSE;Arthur Jacobson (Paramount);
1932/1933;6;Assistant Director;FALSE;Eddie Killey (RKO Radio);
1932/1933;6;Assistant Director;TRUE;Dewey Starkey (RKO Radio);
1932/1933;6;Assistant Director;TRUE;Fred Fox (United Artists);
1932/1933;6;Assistant Director;FALSE;Benjamin Silvey (United Artists);
1932/1933;6;Assistant Director;TRUE;Scott Beal (Universal);
1932/1933;6;Assistant Director;FALSE;Joe McDonough (Universal);
1932/1933;6;Assistant Director;FALSE;W. J. Reiter (Universal);
1932/1933;6;Assistant Director;FALSE;Al Alborn (Warner Brothers);
1932/1933;6;Assistant Director;TRUE;Gordon Hollingshead (Warner Brothers);
1932/1933;6;Assistant Director;FALSE;Frank X. Shaw (Warner Brothers);
1932/1933;6;Cinematography;TRUE;A Farewell to Arms ;Charles Bryant Lang, Jr.
1932/1933;6;Cinematography;FALSE;Reunion in Vienna ;George J. Folsey [Second]
1932/1933;6;Cinematography;FALSE;The Sign of the Cross ;Karl Struss [Third]
1932/1933;6;Directing;TRUE;Cavalcade ;Frank Lloyd
1932/1933;6;Directing;FALSE;Lady for a Day ;Frank Capra [Second]
1932/1933;6;Directing;FALSE;Little Women ;George Cukor [Third]
1932/1933;6;Outstanding Production;TRUE;Cavalcade ;Fox
1932/1933;6;Outstanding Production;FALSE;A Farewell to Arms ;Paramount [Second]
1932/1933;6;Outstanding Production;FALSE;42nd Street ;Warner Brothers
1932/1933;6;Outstanding Production;FALSE;I Am a Fugitive from a Chain Gang ;Warner Brothers
1932/1933;6;Outstanding Production;FALSE;Lady for a Day ;Columbia
1932/1933;6;Outstanding Production;FALSE;Little Women ;RKO Radio [Third]
1932/1933;6;Outstanding Production;FALSE;The Private Life of Henry VIII ;London Films
1932/1933;6;Outstanding Production;FALSE;She Done Him Wrong ;Paramount
1932/1933;6;Outstanding Production;FALSE;Smilin' Through ;Metro-Goldwyn-Mayer
1932/1933;6;Outstanding Production;FALSE;State Fair ;Fox
1932/1933;6;Short Subject (Cartoon);FALSE;Building a Building ;Walt Disney, Producer [Second]
1932/1933;6;Short Subject (Cartoon);FALSE;The Merry Old Soul ;Walter Lantz, Producer [Third]
1932/1933;6;Short Subject (Cartoon);TRUE;The Three Little Pigs ;Walt Disney, Producer
1932/1933;6;Short Subject (Comedy);FALSE;Mister Mugg ;Warren Doane, Producer [Third]
1932/1933;6;Short Subject (Comedy);FALSE;A Preferred List ;Louis Brock, Producer [Second]
1932/1933;6;Short Subject (Comedy);TRUE;So This Is Harris ;Louis Brock, Producer
1932/1933;6;Short Subject (Novelty);TRUE;Krakatoa ;Joe Rock, Producer
1932/1933;6;Short Subject (Novelty);FALSE;Menu ;Pete Smith, Producer [tied for 2nd]
1932/1933;6;Short Subject (Novelty);FALSE;The Sea ;Educational [tied for 2nd]
1932/1933;6;Sound Recording;TRUE;A Farewell to Arms ;Paramount Studio Sound Department, Franklin B. Hansen, Sound Director
1932/1933;6;Sound Recording;FALSE;42nd Street ;Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director
1932/1933;6;Sound Recording;FALSE;Gold Diggers of 1933 ;Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]
1932/1933;6;Sound Recording;FALSE;I Am a Fugitive from a Chain Gang ;Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]
1932/1933;6;Writing (Adaptation);FALSE;Lady for a Day ;Robert Riskin [Second]
1932/1933;6;Writing (Adaptation);TRUE;Little Women ;Victor Heerman, Sarah Y. Mason
1932/1933;6;Writing (Adaptation);FALSE;State Fair ;Paul Green, Sonya Levien [Third]
1932/1933;6;Writing (Original Story);TRUE;One Way Passage ;Robert Lord
1932/1933;6;Writing (Original Story);FALSE;The Prizefighter and the Lady ;Frances Marion [Second]
1932/1933;6;Writing (Original Story);FALSE;Rasputin and the Empress ;Charles MacArthur [Third]
1934;7;Actor;TRUE;Clark Gable;It Happened One Night
1934;7;Actor;FALSE;Frank Morgan;The Affairs of Cellini
1934;7;Actor;FALSE;William Powell;The Thin Man
1934;7;Actress;TRUE;Claudette Colbert;It Happened One Night
1934;7;Actress;FALSE;Bette Davis;Of Human Bondage
1934;7;Actress;FALSE;Grace Moore;One Night of Love
1934;7;Actress;FALSE;Norma Shearer;The Barretts of Wimpole Street
1934;7;Art Direction;FALSE;The Affairs of Cellini ;Richard Day [Third]
1934;7;Art Direction;FALSE;The Gay Divorcee ;Van Nest Polglase, Carroll Clark [Second]
1934;7;Art Direction;TRUE;The Merry Widow ;Cedric Gibbons, Fredric Hope
1934;7;Assistant Director;FALSE;Cleopatra ;Cullen Tate [Second]
1934;7;Assistant Director;FALSE;Imitation of Life ;Scott Beal [Third]
1934;7;Assistant Director;TRUE;Viva Villa! ;John Waters
1934;7;Cinematography;FALSE;The Affairs of Cellini ;Charles Rosher [Third]
1934;7;Cinematography;TRUE;Cleopatra ;Victor Milner
1934;7;Cinematography;FALSE;Operator 13 ;George Folsey [Second]
1934;7;Directing;TRUE;It Happened One Night ;Frank Capra
1934;7;Directing;FALSE;One Night of Love ;Victor Schertzinger [Third]
1934;7;Directing;FALSE;The Thin Man ;W. S. Van Dyke [Second]
1934;7;Film Editing;FALSE;Cleopatra ;Anne Bauchens [Third]
1934;7;Film Editing;TRUE;Eskimo ;Conrad Nervig
1934;7;Film Editing;FALSE;One Night of Love ;Gene Milford [Second]
1934;7;Music (Scoring);FALSE;The Gay Divorcee ;RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]
1934;7;Music (Scoring);FALSE;The Lost Patrol ;RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]
1934;7;Music (Scoring);TRUE;One Night of Love ;Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)
1934;7;Music (Song);FALSE;"""Carioca"" from Flying Down to Rio";"Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]"
1934;7;Music (Song);TRUE;"""The Continental"" from The Gay Divorcee";"Music by Con Conrad; Lyrics by Herb Magidson"
1934;7;Music (Song);FALSE;"""Love In Bloom"" from She Loves Me Not";"Music by Ralph Rainger; Lyrics by Leo Robin [Second]"
1934;7;Outstanding Production;FALSE;The Barretts of Wimpole Street ;Metro-Goldwyn-Mayer [Second]
1934;7;Outstanding Production;FALSE;Cleopatra ;Paramount
1934;7;Outstanding Production;FALSE;Flirtation Walk ;First National
1934;7;Outstanding Production;FALSE;The Gay Divorcee ;RKO Radio
1934;7;Outstanding Production;FALSE;Here Comes the Navy ;Warner Brothers
1934;7;Outstanding Production;FALSE;The House of Rothschild ;20th Century [Third]
1934;7;Outstanding Production;FALSE;Imitation of Life ;Universal
1934;7;Outstanding Production;TRUE;It Happened One Night ;Columbia
1934;7;Outstanding Production;FALSE;One Night of Love ;Columbia
1934;7;Outstanding Production;FALSE;The Thin Man ;Metro-Goldwyn-Mayer
1934;7;Outstanding Production;FALSE;Viva Villa! ;Metro-Goldwyn-Mayer
1934;7;Outstanding Production;FALSE;The White Parade ;Jesse L. Lasky (production company)
1934;7;Short Subject (Cartoon);FALSE;Holiday Land ;Charles Mintz, Producer [Third]
1934;7;Short Subject (Cartoon);FALSE;Jolly Little Elves ;Walter Lantz, Producer [Second]
1934;7;Short Subject (Cartoon);TRUE;The Tortoise and the Hare ;Walt Disney, Producer
1934;7;Short Subject (Comedy);TRUE;La Cucaracha ;Kenneth Macgowan, Producer
1934;7;Short Subject (Comedy);FALSE;Men in Black ;Jules White, Producer [Third]
1934;7;Short Subject (Comedy);FALSE;What, No Men! ;Warner Brothers [Second]
1934;7;Short Subject (Novelty);FALSE;Bosom Friends ;Skibo Productions [Third]
1934;7;Short Subject (Novelty);TRUE;City of Wax ;Stacy Woodard and Horace Woodard, Producers
1934;7;Short Subject (Novelty);FALSE;Strikes and Spares ;Pete Smith, Producer [Second]
1934;7;Sound Recording;FALSE;The Affairs of Cellini ;United Artists Studio Sound Department, Thomas T. Moulton, Sound Director
1934;7;Sound Recording;FALSE;Cleopatra ;Paramount Studio Sound Department, Franklin B. Hansen, Sound Director
1934;7;Sound Recording;FALSE;Flirtation Walk ;Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]
1934;7;Sound Recording;FALSE;The Gay Divorcee ;RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]
1934;7;Sound Recording;FALSE;Imitation of Life ;Universal Studio Sound Department, Theodore Soderberg, Sound Director
1934;7;Sound Recording;TRUE;One Night of Love ;Columbia Studio Sound Department, John Livadary, Sound Director
1934;7;Sound Recording;FALSE;Viva Villa! ;Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
1934;7;Sound Recording;FALSE;The White Parade ;Fox Studio Sound Department, E. H. Hansen, Sound Director
1934;7;Writing (Adaptation);TRUE;It Happened One Night ;Robert Riskin
1934;7;Writing (Adaptation);FALSE;The Thin Man ;Frances Goodrich, Albert Hackett [Second]
1934;7;Writing (Adaptation);FALSE;Viva Villa! ;Ben Hecht [Third]
1934;7;Writing (Original Story);FALSE;Hide-Out ;Mauri Grashin [Third]
1934;7;Writing (Original Story);TRUE;Manhattan Melodrama ;Arthur Caesar
1934;7;Writing (Original Story);FALSE;The Richest Girl in the World ;Norman Krasna [Second]
1934;7;Special Award;TRUE;Shirley Temple;
1935;8;Actor;FALSE;Clark Gable;Mutiny on the Bounty
1935;8;Actor;FALSE;Charles Laughton;Mutiny on the Bounty
1935;8;Actor;TRUE;Victor McLaglen;The Informer
1935;8;Actor;FALSE;Paul Muni;Black Fury
1935;8;Actor;FALSE;Franchot Tone;Mutiny on the Bounty
1935;8;Actress;FALSE;Elisabeth Bergner;Escape Me Never
1935;8;Actress;FALSE;Claudette Colbert;Private Worlds
1935;8;Actress;TRUE;Bette Davis;Dangerous
1935;8;Actress;FALSE;Katharine Hepburn;Alice Adams
1935;8;Actress;FALSE;Miriam Hopkins;Becky Sharp
1935;8;Actress;FALSE;Merle Oberon;The Dark Angel
1935;8;Art Direction;TRUE;The Dark Angel ;Richard Day
1935;8;Art Direction;FALSE;The Lives of a Bengal Lancer ;Hans Dreier, Roland Anderson [Third]
1935;8;Art Direction;FALSE;Top Hat ;Van Nest Polglase, Carroll Clark [Second]
1935;8;Assistant Director;FALSE;David Copperfield ;Joseph Newman [Third]
1935;8;Assistant Director;FALSE;Les Miserables ;Eric Stacey
1935;8;Assistant Director;TRUE;The Lives of a Bengal Lancer ;Clem Beauchamp, Paul Wing
1935;8;Assistant Director;FALSE;A Midsummer Night's Dream ;Sherry Shourds [Second]
1935;8;Cinematography;FALSE;Barbary Coast ;Ray June
1935;8;Cinematography;FALSE;The Crusades ;Victor Milner [Third]
1935;8;Cinematography;FALSE;Les Miserables ;Gregg Toland [Second]
